username;community;account_type;in_degree;out_degree
6c2060e3d5;61;grassroot;1;0
0ab3961991;11;grassroot;1;3
d9261310a6;11;grassroot;2;0
0e1cd2e4e5;11;grassroot;1;0
f81bb91c62;11;grassroot;9;0
2a3e880291;12;grassroot;0;1
af9c80c37c;62;grassroot;0;1
17466bb8bc;62;grassroot;1;0
55c4c70e05;10;grassroot;0;1
92bd1c2f3a;10;grassroot;10;0
3e54b35d6d;63;grassroot;0;1
76b1ea8d23;63;grassroot;1;0
bc7e4efddf;64;grassroot;1;1
d7fb466cf8;64;grassroot;1;1
b2a54e877c;65;grassroot;0;1
aab2f38cdb;65;grassroot;2;0
36e9a70bb9;11;grassroot;0;1
ac249c6ebd;11;grassroot;2;0
5870ae6404;66;grassroot;0;1
025e363bce;66;grassroot;1;0
8f3d993186;7;grassroot;0;1
79261e623a;7;grassroot;2;0
8fc79c5d3d;67;grassroot;0;2
4e24b8a6a4;67;grassroot;1;0
a63ad4fdc5;67;grassroot;1;0
5ed75e2559;2;grassroot;0;1
ea31c2eb07;12;grassroot;0;3
a84c2e4b3d;6;grassroot;0;1
0b0ae702b5;42;grassroot;0;3
2ee76f0817;42;grassroot;1;0
af977a6429;42;grassroot;1;0
1a0f90ac27;7;grassroot;0;2
4bb0d979a6;68;grassroot;0;1
9aa7295a99;68;grassroot;2;0
260ef7d1f5;24;grassroot;0;2
7f1430f4a9;24;grassroot;55;1
b18ad4b71b;24;grassroot;2;0
b5deeccbde;7;grassroot;0;1
468a7e3e44;15;grassroot;1;4
0c8a8a6679;15;grassroot;1;8
758dd92201;15;grassroot;3;0
f3e6e58289;15;grassroot;2;0
048762e43a;15;grassroot;2;0
50ba92cf7c;15;grassroot;1;0
a61104e1c5;43;grassroot;8;0
9f6b480c7c;9;grassroot;0;2
710b8a34aa;9;grassroot;4;0
634380c516;11;grassroot;20;0
ae039f4a4a;69;grassroot;1;19
6c26dfcd7e;69;grassroot;4;0
06660213e4;11;grassroot;3;0
bccb7e32af;69;grassroot;1;0
88670bff73;43;grassroot;7;0
c815ef9994;69;grassroot;2;0
be2e804716;69;grassroot;1;0
824ce5d8af;69;grassroot;9;0
d2b18416d8;9;grassroot;72;0
488c0fbeed;9;grassroot;7;0
b92f8a6006;69;grassroot;2;23
e472ef2620;42;grassroot;12;0
c5a1a61500;69;grassroot;3;0
7ad86f6e90;69;grassroot;1;0
8349b8dbef;43;grassroot;2;0
d0c9d3451c;70;elite/political;53;1
789df3cc58;35;grassroot;8;0
e6b5b96006;35;grassroot;6;0
1aa1f2a670;69;grassroot;3;0
c5f60233c4;69;grassroot;3;28
6bb050e54d;69;grassroot;2;0
e5712b08db;69;grassroot;10;0
240c5fa48d;69;elite/political;2;0
d247e7a8a8;69;grassroot;3;0
0aa07be81c;69;grassroot;2;1
6e23193c02;69;grassroot;2;0
000a4ccabe;69;grassroot;2;0
409a918876;69;grassroot;2;0
dbedf21fd3;69;grassroot;2;0
ceed5e95eb;69;grassroot;2;0
5f9680c940;69;grassroot;2;0
576eee7840;69;grassroot;2;0
af61178b00;69;elite/political;5;0
171788c7ab;69;grassroot;2;0
0636f48d6c;69;grassroot;3;0
694c14d0c9;69;grassroot;2;0
4683dcc268;69;grassroot;2;0
94624238f3;69;grassroot;2;2
83b8307933;69;grassroot;2;0
46c856072f;69;grassroot;3;1
3ebcffb2db;69;grassroot;2;0
24e6654bfd;70;grassroot;22;0
1b67dfe9df;69;grassroot;1;0
2ba7eccf9e;9;elite/political;23;0
b1ddb21527;69;grassroot;1;0
c54ba1a915;69;grassroot;1;0
55973eabc5;10;grassroot;0;1
1c5ca9d2f6;1;grassroot;0;1
fefe3105ff;12;grassroot;0;3
f45bd7e2bb;71;grassroot;0;1
e11f54d162;71;grassroot;1;0
8917f84731;72;grassroot;0;1
ab55b9bd85;72;grassroot;1;0
01655325c0;14;grassroot;0;1
0a53075bb0;73;grassroot;0;1
92a1a59171;73;grassroot;2;0
ab71867e17;6;grassroot;0;2
4b764860ad;7;grassroot;0;1
f4852101da;7;grassroot;4;0
105eb851b5;74;grassroot;0;2
ead271f5bb;74;grassroot;2;0
ec802a441e;2;grassroot;0;1
0b8665589b;10;grassroot;0;1
4406a89cfe;75;grassroot;0;3
891babe1be;75;grassroot;2;0
f11ee2f349;75;grassroot;2;0
e35a829d63;75;grassroot;1;3
361f7c4a73;75;grassroot;1;0
84a2c35d2a;76;grassroot;0;1
283e998d07;76;grassroot;3;0
cad2dfdae2;77;grassroot;1;1
9a0a9926ef;77;grassroot;1;0
7bbfcd8153;2;grassroot;0;2
921baa09f4;78;grassroot;1;2
947c7e874c;78;grassroot;1;0
525265a853;78;grassroot;1;0
dd7b4c956f;3;grassroot;0;1
f991c94743;3;media/news;44;0
428e14fdf3;14;grassroot;0;2
f3a5f326f8;14;grassroot;2;0
dffb927ee3;14;grassroot;14;0
d7ff62c5a8;79;grassroot;0;1
a192f98709;79;grassroot;1;0
8622968d36;3;grassroot;0;2
8b94bde15e;3;grassroot;3;0
dd9d768191;3;grassroot;3;0
fd60993c4f;80;grassroot;0;1
38e518d52a;80;grassroot;1;0
0ad1204403;13;grassroot;0;1
8885e7a160;13;grassroot;4;0
8e86ae124f;10;grassroot;0;3
e34895073a;2;grassroot;0;1
6755c0cde5;81;grassroot;0;1
17027a776f;81;grassroot;2;0
946dacea28;6;grassroot;0;1
81011ac79d;82;grassroot;0;1
35254c2dd2;82;grassroot;1;0
32c17cbee1;1;grassroot;0;2
90c9d6e06f;3;grassroot;0;1
fa8815d57c;13;grassroot;0;1
d135aa7e9b;13;media/news;25;0
f47b799c42;83;grassroot;0;2
6da4c9d251;83;grassroot;1;0
578809a231;83;grassroot;12;0
d564dde9fc;7;grassroot;0;1
f30f54c3dc;7;grassroot;4;0
c3453a5133;43;grassroot;4;3
343cc33f50;43;grassroot;7;0
21dd0d257b;84;grassroot;0;2
f46a0b4aa6;84;grassroot;4;0
7dc23aac89;84;grassroot;2;0
4648756528;85;grassroot;0;1
04a2f3c8b2;85;grassroot;14;0
a1be120964;2;grassroot;0;6
45811bd396;35;elite/political;6;0
581aa55a0d;2;grassroot;3;0
67bbcc6c83;2;grassroot;1;0
2e43527c1c;2;grassroot;2;0
28912d465b;15;grassroot;0;2
8361fe7aac;70;grassroot;0;1
b386a8b1ac;70;grassroot;4;4
2583c7d7de;70;elite/political;26;1
c2b152fe46;70;grassroot;7;5
17fb3c29eb;70;grassroot;1;0
d9594e5f02;70;grassroot;1;0
4d12fbc9c6;86;grassroot;0;1
06f1a0d8c2;86;grassroot;103;0
552beb0cb2;87;grassroot;0;1
4fbd442271;87;grassroot;1;0
409c85c6e3;88;grassroot;0;1
c1d0f79ad0;88;grassroot;1;0
3ce8766161;70;grassroot;0;1
9bf47b9889;70;media/news;59;0
08e269ec17;9;grassroot;0;1
b635b7c851;9;grassroot;13;0
13eca5e637;13;grassroot;0;1
ae8e63abfb;13;grassroot;3;0
e995ad22af;58;grassroot;0;1
f66f18ce9f;58;grassroot;68;0
eab0fa95c2;89;grassroot;0;4
bf21405d3d;89;grassroot;25;0
3842e6fc12;90;grassroot;0;1
cbcfdcd785;90;grassroot;2;0
ad835d2dbb;91;grassroot;0;1
7ff751e25f;91;grassroot;1;0
0b0860f14f;2;grassroot;0;2
2b464d3d15;92;grassroot;0;1
ac7840f6b3;92;grassroot;4;0
31a4247c46;93;grassroot;0;1
111fe98684;93;grassroot;1;0
6929854b08;86;grassroot;0;1
9bbc5b97d2;86;grassroot;78;0
67b0a59a66;10;grassroot;0;1
a985ac0652;10;grassroot;3;0
8e3e88e036;86;grassroot;0;1
e864930034;86;grassroot;2;0
277d9ce5af;11;grassroot;0;5
93e418807f;11;grassroot;5;0
7d8368a288;11;grassroot;24;6
1ac47c2ae5;43;grassroot;12;0
520f7ad16e;11;grassroot;1;0
51a301726e;11;grassroot;1;0
374a76acd4;2;grassroot;9;5
b29b0c7cba;11;grassroot;1;0
9fe3c6019e;69;grassroot;0;2
16560a3c7a;69;grassroot;13;0
cda02ebb23;2;grassroot;1;0
7e2fd27b7b;2;grassroot;1;0
f699fba229;2;media/news;2;0
0ef5c1be00;94;grassroot;0;1
7ee38161b8;94;grassroot;3;0
e847ae7262;69;grassroot;0;1
4a8c18ca88;69;grassroot;6;0
bb3b557c9a;1;grassroot;0;1
c16ba8b38c;1;media/news;5;0
1b6be16d39;15;grassroot;0;1
78e825e0cc;11;grassroot;0;1
2b6b2917ee;11;media/news;6;0
f5e820923b;5;grassroot;0;5
f952126470;5;elite/political;5;0
7d6d29f3f2;5;grassroot;3;0
1468f6be98;86;grassroot;0;1
45569bf341;96;grassroot;0;1
bc2616fe72;96;grassroot;1;0
38edf7d826;10;grassroot;0;1
108ec173d4;86;grassroot;0;2
686a1def80;86;grassroot;1;0
6680cb5ff8;2;grassroot;0;2
25fe350c0d;2;elite/political;62;0
b8e72cbe22;16;grassroot;0;1
fd2ae764cb;16;media/news;7;0
15338dc8a6;97;grassroot;0;1
78bdced320;97;grassroot;1;0
029bdc18d5;7;grassroot;0;2
aeff4a6660;7;grassroot;3;0
8d31a993ff;70;grassroot;0;1
8fc5fc3b7f;98;grassroot;1;3
73f04a8686;98;grassroot;1;3
0d296b51eb;98;grassroot;10;0
80684762a0;98;grassroot;3;5
5acb882cc8;98;grassroot;1;0
3d8123d1f2;98;grassroot;1;0
6255e4d816;98;grassroot;1;0
af4683ab8c;98;grassroot;1;0
86a4b3d5c4;12;grassroot;1;2
529367cc33;11;media/news;3;0
f44e33b03f;12;media/news;57;1
2caecffab5;2;grassroot;0;1
04081423dd;3;grassroot;1;1
290826aad8;2;grassroot;0;2
a4fd28b61e;2;grassroot;1;0
30f7b924c9;32;grassroot;0;1
cbef789d13;32;grassroot;42;0
53663a5062;11;grassroot;0;1
1ba0f35fdb;11;media/news;18;0
bbf9cff641;9;grassroot;0;1
8d6a1df420;9;grassroot;1;1
1dab3814f2;11;grassroot;0;1
db56ce7f5c;11;grassroot;25;1
937da47d9b;70;grassroot;0;1
bb08e8b412;43;grassroot;0;12
9d4a6e79b5;43;grassroot;11;0
39fdc94d38;43;grassroot;12;8
105e5608da;43;grassroot;1;0
4416a8c301;9;grassroot;15;0
9d3d570dad;2;grassroot;22;4
2c18c60e65;43;grassroot;1;0
f694e6e204;43;grassroot;1;0
ef3593d345;43;grassroot;8;0
c014dd4912;43;grassroot;9;3
f1c6f19f2b;43;grassroot;5;1
8ef0ed878f;49;elite/political;8;0
b1b48a558c;4;grassroot;1;2
2b10a189fc;2;grassroot;5;3
f030421a42;43;grassroot;3;1
bebc06d911;43;grassroot;3;0
756d737e55;43;grassroot;1;1
35bf6b1026;2;grassroot;33;0
d2a271ed9e;9;elite/political;6;0
2a021cd007;43;grassroot;6;0
c649e7b250;100;grassroot;0;2
3f645e7ceb;100;grassroot;1;0
05d586bf49;100;grassroot;1;0
454596e0fb;2;grassroot;0;1
2ed4bdb974;101;grassroot;0;1
867171af6f;101;grassroot;1;0
4a2e63ed36;13;grassroot;0;2
32621ed55a;3;grassroot;0;1
2107f1c324;2;grassroot;0;2
9ea6600f37;2;grassroot;0;4
f19190e117;32;grassroot;6;0
ffca696c78;102;grassroot;0;1
d30f43df80;102;grassroot;1;0
7fd076ab0c;2;grassroot;0;4
2b7b9d780b;11;grassroot;0;1
6aad2a69bf;86;grassroot;0;1
1590017792;103;grassroot;0;1
ddce79a45d;103;grassroot;1;0
dfabbd22b7;1;grassroot;1;1
bf429aeaad;69;grassroot;0;4
6c9eae0099;69;grassroot;17;0
e242bfc8c2;24;grassroot;0;3
750fb45943;42;grassroot;0;1
b72a6e8c64;104;grassroot;0;3
13579b50d2;104;grassroot;12;0
ef0c2fdc51;104;grassroot;1;1
2faee8d88d;14;grassroot;0;1
95b4f2908b;2;grassroot;1;1
d7fffc55c5;43;grassroot;0;1
1c2affb28b;70;grassroot;0;2
136105106b;7;grassroot;0;2
0c41a1c3da;7;grassroot;2;2
8f632e31bc;7;grassroot;4;3
14aa5fdb1d;7;grassroot;1;0
3509a3d92c;7;grassroot;1;0
e345f65947;7;grassroot;1;0
0c00ace904;105;grassroot;0;1
c18d6c8040;105;grassroot;2;0
c0a02fcc4e;43;grassroot;0;1
dd09fa3045;2;grassroot;0;3
11cce1052c;2;grassroot;34;0
4c509b1d53;2;grassroot;7;0
13a62c3619;2;grassroot;0;1
1eb2b59aca;58;grassroot;1;4
704dfba275;6;grassroot;0;1
2e706f0673;16;grassroot;0;1
6bfbe374bc;106;grassroot;0;1
c7601a0b1f;106;grassroot;2;0
25ab78268b;107;grassroot;0;1
56a481a724;107;grassroot;8;0
3b2b3c70cf;35;grassroot;1;2
1c8692ab98;35;grassroot;1;0
118c43e1a6;35;grassroot;2;0
0ed06f69fb;16;grassroot;0;1
73723da559;10;grassroot;0;2
5116a185a7;2;media/news;10;0
56d446d018;3;grassroot;0;1
befca014a8;3;grassroot;0;1
1ef2dd24e3;70;grassroot;0;2
0733a1e40a;70;grassroot;6;0
cdd03c698f;70;grassroot;1;0
c8cb22e9d5;5;grassroot;0;2
ebded6a4f9;12;grassroot;0;4
afb4b449d6;12;grassroot;1;0
eaf0051e81;108;grassroot;0;1
051aa3a412;108;grassroot;1;0
3d13ac583a;2;grassroot;0;1
5020dea46f;86;grassroot;0;1
e2a3cbf0d0;109;grassroot;0;2
33d3c9cbf7;109;grassroot;1;0
43af60c9e3;109;grassroot;1;0
b7e8f2ccd6;2;grassroot;0;1
34881bfa45;16;grassroot;0;1
88b8e035bf;110;grassroot;0;2
9fcefb35e8;110;grassroot;1;0
32cfa28007;110;grassroot;1;0
b5830c6a53;2;grassroot;0;8
b0215c1800;2;elite/political;6;0
277f642724;2;elite/political;3;0
dc43aeb51f;32;elite/political;24;0
54eacea913;111;grassroot;0;1
2af1863322;111;grassroot;1;0
0e5b688772;112;grassroot;0;1
deea8ab643;112;grassroot;13;0
91912bc35a;16;grassroot;0;1
75c8e0d77c;2;grassroot;1;1
70a7386046;70;grassroot;0;9
996cb62be3;70;grassroot;1;0
3972dc1e77;9;grassroot;4;0
5af8ca8956;69;grassroot;6;0
8cc5fa0363;10;grassroot;13;1
69b5b6ba0f;70;grassroot;1;0
f2fc4108f5;113;grassroot;0;1
25b2ab6982;113;grassroot;1;0
13080836fb;2;grassroot;0;4
70b0d1510f;2;grassroot;3;0
555225f75a;2;grassroot;0;1
a3c8ef8176;114;grassroot;0;1
efcd5e2e24;114;grassroot;1;0
88a4a5523b;115;grassroot;0;2
d8e073a6ed;115;grassroot;3;0
70e1682f1d;115;grassroot;3;0
f9b843fe33;116;grassroot;0;1
0ecd82ed2b;116;grassroot;1;0
e17ddfe156;7;grassroot;0;3
d41467980e;7;grassroot;3;0
cb7da8dee4;7;grassroot;1;0
f5d2063322;11;grassroot;0;1
ca20dd89f7;58;grassroot;0;5
6c9c8ae816;58;grassroot;5;2
4feebde374;58;grassroot;25;0
2486205a0c;117;grassroot;0;1
dfc24b6519;117;grassroot;1;0
175107cc38;2;grassroot;0;3
814f19b417;43;grassroot;0;3
062e7973b9;43;grassroot;10;1
47a36edfb1;43;elite/political;7;0
82483cab16;104;grassroot;0;1
67752e4d36;89;grassroot;1;2
6fd0e36064;89;grassroot;2;0
60f3be055d;118;grassroot;0;1
b418273b5b;118;grassroot;1;0
7dfe0de0e9;10;grassroot;0;1
51beacfea5;69;grassroot;1;3
81026a413c;69;grassroot;1;0
6ce69efcab;69;grassroot;7;0
486eab7229;69;grassroot;1;4
28f37a23ab;69;grassroot;1;0
