community,size,grassroot,media_news,elite_political,top_node,top_node_in_degree
19,2,2,0,0,a880bc5c5e,1
21,2,1,1,0,9f13f930fb,1
22,2,2,0,0,542e862ecd,1
25,2,2,0,0,82289203e5,1
26,2,2,0,0,292f2918d7,1
27,2,2,0,0,290f5e382d,1
29,2,2,0,0,3ab3490a17,1
31,2,2,0,0,fca295e5d2,1
34,2,2,0,0,17a4435634,1
36,2,2,0,0,9258b5ba0a,1
40,2,2,0,0,2aaccff9bc,1
41,2,2,0,0,0822024eed,1
44,2,2,0,0,d557891ff4,1
45,2,2,0,0,f1c70b7cf0,1
46,2,2,0,0,e045935a25,1
47,2,2,0,0,152090dd9c,1
55,2,2,0,0,14a00612d0,1
57,2,2,0,0,03e1e62c87,1
59,2,2,0,0,31e1c8ee69,1
60,2,2,0,0,be6166d442,1
62,2,2,0,0,17466bb8bc,1
63,2,2,0,0,76b1ea8d23,1
64,2,2,0,0,bc7e4efddf,1
66,2,2,0,0,025e363bce,1
71,2,2,0,0,e11f54d162,1
72,2,2,0,0,ab55b9bd85,1
79,2,2,0,0,a192f98709,1
80,2,2,0,0,38e518d52a,1
82,2,2,0,0,35254c2dd2,1
87,2,2,0,0,4fbd442271,1
88,2,2,0,0,c1d0f79ad0,1
91,2,2,0,0,7ff751e25f,1
93,2,2,0,0,111fe98684,1
96,2,2,0,0,bc2616fe72,1
97,2,2,0,0,78bdced320,1
101,2,2,0,0,867171af6f,1
102,2,2,0,0,d30f43df80,1
103,2,2,0,0,ddce79a45d,1
108,2,2,0,0,051aa3a412,1
111,2,2,0,0,2af1863322,1
113,2,2,0,0,25b2ab6982,1
114,2,2,0,0,efcd5e2e24,1
116,2,2,0,0,0ecd82ed2b,1
117,2,2,0,0,dfc24b6519,1
118,2,2,0,0,b418273b5b,1
119,2,1,0,1,29612e1824,1
120,2,2,0,0,96038fb6ca,1
122,2,2,0,0,8864373327,1
124,2,2,0,0,4c574cca55,1
125,2,2,0,0,1189006eda,1
126,2,2,0,0,38bc72187c,1
129,2,2,0,0,3aaeac31ae,1
133,2,2,0,0,9f6a14ba6e,1
135,2,2,0,0,99ac2ec16a,1
136,2,2,0,0,9dc9cc9e17,1
138,2,2,0,0,1da63178f0,1
139,2,2,0,0,fddb6423a0,1
141,2,2,0,0,57bdb50c0a,1
147,2,2,0,0,0538257aa5,1
148,2,2,0,0,ed2c117bfb,1
149,2,2,0,0,728b3564d9,1
150,2,2,0,0,738aee1277,1
153,2,2,0,0,9180f50997,1
154,2,2,0,0,1bbef1cc75,1
155,2,1,1,0,70d2e59314,1
156,2,2,0,0,6efd21f53f,1
158,2,2,0,0,d19b86339b,1
159,2,2,0,0,5321981fe0,1
161,2,2,0,0,4373a066c7,1
162,2,2,0,0,2073aae956,1
164,2,2,0,0,2249573e3d,1
165,2,2,0,0,97aa88cce0,1
166,2,2,0,0,f015270195,1
168,2,2,0,0,55e8652a23,1
169,2,2,0,0,3efe72ed5d,1
170,2,2,0,0,60a7de4afb,1
172,2,2,0,0,cd3e2c2080,1
173,2,2,0,0,b71bf252fe,1
175,2,2,0,0,e74a556a0c,1
176,2,2,0,0,a4a2e87450,1
178,2,2,0,0,55d143651b,1
181,2,2,0,0,df389c09b4,1
183,2,2,0,0,aa9a88ba75,1
185,2,2,0,0,62396925ca,1
186,2,2,0,0,ba88792b76,1
187,2,2,0,0,78af561865,1
189,2,2,0,0,fed8b10002,1
190,2,2,0,0,d7cdbf8680,1
191,2,2,0,0,aa96a86dd1,1
192,2,1,0,1,876d6bb998,1
193,2,2,0,0,ba8f6c4e13,1
195,2,2,0,0,2e1e0fb499,1
196,2,2,0,0,9c3c32d655,1
198,2,2,0,0,be309ef146,1
199,2,2,0,0,3987292f1c,1
201,2,2,0,0,be4f6e9377,1
202,2,2,0,0,a7ad2c3273,1
203,2,2,0,0,9f4b19febf,1
204,2,2,0,0,5d647593e5,1
205,2,2,0,0,d38a7e37e8,1
206,2,2,0,0,d0bdd72c57,1
208,2,2,0,0,bbde19278c,1
209,2,2,0,0,4f7ae281fe,1
211,2,2,0,0,0a14ea20f3,1
213,2,2,0,0,c5a15789a9,1
215,2,2,0,0,be039f950b,1
218,2,2,0,0,7d4aff62b1,1
219,2,2,0,0,2c1ace48a9,1
220,2,2,0,0,82afed43d0,1
222,2,2,0,0,416aaec04b,1
225,2,2,0,0,b1838710fc,1
226,2,2,0,0,3f72e90c89,1
227,2,2,0,0,dd09f6d674,1
228,2,2,0,0,61e9e49208,1
229,2,2,0,0,5f2cf23d81,1
230,2,2,0,0,fa50bf31c6,1
231,2,2,0,0,2c9f57d9fc,1
233,2,2,0,0,8b47cd14c2,1
234,2,2,0,0,8d515128b5,1
235,2,2,0,0,143c14ad29,1
236,2,2,0,0,655fca07fd,1
239,2,2,0,0,d79c9cf758,1
242,2,2,0,0,05eb5261da,1
243,2,2,0,0,b6636cd709,1
245,2,2,0,0,cca9ad3062,1
246,2,2,0,0,bca1b93289,1
248,2,2,0,0,1302a7237e,1
249,2,2,0,0,a48b1da4ca,1
252,2,2,0,0,1c18715873,1
253,2,2,0,0,5cc06fecf5,1
254,2,2,0,0,6cede2b058,1
255,2,2,0,0,43a5cc02fa,1
256,2,2,0,0,b992f0a038,1
257,2,2,0,0,38c839209b,1
258,2,2,0,0,c667271343,1
259,2,2,0,0,96d41dba6d,1
261,2,2,0,0,73fff44aaa,1
262,2,2,0,0,3d568651f9,1
263,2,2,0,0,b6162ce416,1
264,2,2,0,0,e696eaa283,1
267,2,2,0,0,36591cda9e,1
268,2,2,0,0,f1758be630,1
270,2,2,0,0,ff02b9d72d,1
271,2,2,0,0,488b323d02,1
272,2,2,0,0,76d556427b,1
273,2,2,0,0,5c77f9b455,1
274,2,2,0,0,d7a6fe23e2,1
275,2,2,0,0,78aaeecab1,1
276,2,2,0,0,22e0be5148,1
277,2,2,0,0,ec6bd35e61,1
280,2,2,0,0,66220f704f,1
281,2,2,0,0,9188de593d,1
282,2,2,0,0,033187655f,1
283,2,2,0,0,2149e32cc8,1
284,2,2,0,0,d70d32e183,1
285,2,2,0,0,dee4cb8570,1
286,2,2,0,0,259fe73cd0,1
287,2,2,0,0,0de3c2a471,1
288,2,2,0,0,1f4d8eafac,1
290,2,2,0,0,66af3644e6,1
293,2,2,0,0,627b15c161,1
294,2,2,0,0,9cadaf5e5b,1
301,2,2,0,0,8bf3885831,1
302,2,2,0,0,1821b2fa15,1
304,2,2,0,0,7e1af87484,1
305,2,2,0,0,7391ca0ce0,1
308,2,2,0,0,bee703c636,1
311,2,2,0,0,4e01dcef4a,1
312,2,2,0,0,4f16fcc895,1
314,2,2,0,0,a873a9c821,1
315,2,2,0,0,d8ae7e36b7,1
317,2,2,0,0,0204e8d9e5,1
320,2,2,0,0,75609ec61a,1
321,2,2,0,0,5f3ee91778,1
322,2,2,0,0,529b6e7917,1
324,2,2,0,0,c4afa0dc8e,1
325,2,2,0,0,920e911a9e,1
326,2,2,0,0,82424984a9,1
328,2,2,0,0,71a4c3aaf3,1
331,2,2,0,0,6817e7fcc0,1
333,2,2,0,0,882ac5dd75,1
334,2,2,0,0,15a6d4d145,1
336,2,2,0,0,09ca103e0c,1
338,2,2,0,0,dc2f884904,1
340,2,2,0,0,83f47188f3,1
341,2,2,0,0,bbc881b1a6,1
343,2,1,0,1,cf4d1c6e15,1
345,2,2,0,0,dddd96e30e,1
346,2,2,0,0,ff476ddeeb,1
