narrative,n_tweets,retweet_count_median,retweet_count_mean,retweet_count_std,reply_count_median,reply_count_mean,reply_count_std,quote_count_median,quote_count_mean,quote_count_std,view_count_median,view_count_mean,view_count_std,favorite_count_median,favorite_count_mean,favorite_count_std
Affan Kurniawan,714,0.0,475.28011204481794,5933.194612392572,0.0,29.873949579831933,145.91919152897077,0.0,29.901960784313726,381.56078143072375,3750.0,67970.12605042016,463773.2805216259,10.0,958.8935574229691,11023.339769402184
Demo & DPR,1614,0.0,127.47831474597274,2595.8078460619936,0.0,9.925650557620818,70.56055371733562,0.0,4.52912019826518,66.34180467348297,1360.0,30167.881040892193,409429.1873703812,0.0,374.2069392812887,5977.7119687388895
Ekonomi Rakyat,1070,0.0,88.10280373831776,1003.3218207756272,0.0,9.158878504672897,96.73840489158174,0.0,2.3738317757009346,25.825391731434628,820.0,12296.757009345794,87427.84011819825,0.0,318.77570093457945,4241.907223255726
Gerakan/Hashtag,2043,0.0,118.928046989721,1720.297299150548,0.0,9.285364659813999,80.99816999058272,0.0,6.074400391581008,128.77885875356725,980.0,17605.824767498776,234225.10293434767,0.0,288.19872736172294,3129.0938764157486
Keamanan & Respons,179,0.0,369.9441340782123,3233.724936223493,0.0,12.402234636871508,97.57356887647886,0.0,8.324022346368714,77.2307649120371,2640.0,62364.357541899444,510136.3145101794,10.0,697.5977653631285,4560.082092597777
Kekerasan Aparat,1932,0.0,151.94099378881987,2950.8841130788232,0.0,7.712215320910973,49.5117957045423,0.0,5.119047619047619,124.72335543311665,900.0,21632.717391304348,193037.58902104085,0.0,336.7546583850932,4786.929487255304
Politik & Tuntutan,958,0.0,483.4342379958246,11545.605885245963,0.0,22.369519832985386,178.05145602511834,0.0,15.093945720250522,304.90545589985345,1485.0,42238.94572025052,706796.1894722497,0.0,663.768267223382,12074.888495564199
