community,phase,total_edges,cross_edges,porosity,unique_target_communities
217,Post-shift,7,0,0.0,1
92,Post-shift,8,0,0.0,1
83,Post-shift,25,1,0.04,2
1240,Post-shift,6,0,0.0,1
486,Post-shift,5,0,0.0,1
250,Post-shift,5,0,0.0,1
149,Post-shift,6,0,0.0,1
216,Post-shift,16,0,0.0,1
747,Post-shift,14,0,0.0,1
1220,Post-shift,6,0,0.0,1
28,Post-shift,6,0,0.0,1
121,Post-shift,17,0,0.0,1
140,Post-shift,13,1,0.07692307692307693,2
85,Post-shift,32,2,0.0625,2
1092,Post-shift,9,1,0.1111111111111111,2
610,Post-shift,5,0,0.0,1
291,Post-shift,11,0,0.0,1
73,Post-shift,6,0,0.0,1
355,Post-shift,7,0,0.0,1
37,Post-shift,16,0,0.0,1
107,Post-shift,10,0,0.0,1
537,Post-shift,8,0,0.0,1
356,Post-shift,6,0,0.0,1
269,Post-shift,6,0,0.0,1
572,Post-shift,6,0,0.0,1
84,Post-shift,12,0,0.0,1
67,Post-shift,5,0,0.0,1
76,Post-shift,7,0,0.0,1
104,Post-shift,22,4,0.18181818181818182,3
727,Post-shift,6,0,0.0,1
134,Post-shift,36,0,0.0,1
488,Post-shift,8,0,0.0,1
1200,Post-shift,5,0,0.0,1
