narrative,max_hop,avg_hop,porosity,unique_community_pairs,max_hop_z,avg_hop_z,porosity_z,unique_community_pairs_z,cognitive_fusion_index,rank
Affan Kurniawan,7,2.84,0.118,39,1.9877674693472376,1.7416113392389279,-0.5099814824075574,-1.1250577892157998,0.5235848842407022,1
Keamanan & Respons,5,2.63,0.205,25,0.44172610429938597,1.1739464459614946,1.0351862926481756,-1.4391764881991285,0.30292058867748184,2
Gerakan/Hashtag,3,1.83,0.21,168,-1.1043152607484656,-0.9885864808096798,1.123989038341034,1.7693216514163006,0.2001022370497973,3
Politik & Tuntutan,3,1.87,0.205,98,-1.1043152607484656,-0.880459834471121,1.0351862926481756,0.19872815649965703,-0.1877151615179385,4
Kekerasan Aparat,4,1.93,0.106,120,-0.33129457822453984,-0.7182698649632833,-0.7231080720704169,0.6923432549020307,-0.27008231508905234,5
Demo & DPR,5,2.27,0.054,84,0.44172610429938597,0.20080662891446624,-1.6466566272761425,-0.11539054248367168,-0.2798786091364905,6
Ekonomi Rakyat,4,2.0,0.129,90,-0.33129457822453984,-0.5290482338708054,-0.31461544188326906,0.019231757080612054,-0.2889316242245006,7
