narrative,mean_diffusion,max_hop,avg_hop,post_median_eng_per_tweet,mean_diffusion_z,max_hop_z,avg_hop_z,post_median_eng_per_tweet_z,excitation_index,rank
Affan Kurniawan,0.5321062274611038,7,2.84,360.0,2.1517050175401304,1.9877674693472376,1.7416113392389276,2.0095666308032714,1.9726626142323918,1
Keamanan & Respons,0.23332451599680645,5,2.63,227.5,0.6326274013336035,0.44172610429938597,1.1739464459614946,0.9011080818469619,0.7873520083603616,2
Demo & DPR,0.001784178628890844,5,2.27,0.0,-0.5445790013632953,0.44172610429938597,0.2008066289144662,-1.0020943323987768,-0.22603515013705497,3
Ekonomi Rakyat,-0.05844927957495884,4,2.0,56.0,-0.8508202959048894,-0.33129457822453984,-0.5290482338708052,-0.5336137381229026,-0.5611942115307843,4
Kekerasan Aparat,-0.05040340145216022,4,1.93,68.0,-0.809913128932825,-0.33129457822453984,-0.7182698649632832,-0.43322503934950096,-0.5731756528675371,5
Gerakan/Hashtag,0.002605408870435398,3,1.83,104.0,-0.5404036705789301,-1.1043152607484656,-0.9885864808096797,-0.1320589430292962,-0.691341088791593,6
Politik & Tuntutan,0.1013000912039929,3,1.87,23.0,-0.03861632209379335,-1.1043152607484656,-0.8804598344711209,-0.809682659749757,-0.7082685192657843,7
